album,track,raw_LUFS,raw_LRA,raw_true_peak_dBFS,raw_sample_peak,note
gpt5-6/Atlas of Becoming,03 - Blue Horizon Machine,-14.2,9.1,3.8,1.543145,
gpt5-6/Atlas of Becoming,04 - Broadcasts from a Fractured Planet,-16.3,7.2,2.0,1.187619,
gpt5-6/Atlas of Becoming,"05 - One Cell, Many Skies",-16.5,7.4,1.2,1.147154,
gpt5-6/Atlas of Becoming,06 - Late for the Ordinary,-16.1,8.1,2.9,1.401684,
gpt5-6/Atlas of Becoming,07 - Carry the Lantern,-16.3,11.9,3.7,1.53534,
gpt5-6/Atlas of Becoming,08 - Parameters in Bloom,-16.6,8.4,2.6,1.350473,
gpt5-6/Atlas of Becoming,09 - Black Glass Pursuit,-14.6,13.5,6.1,2.01031,
gpt5-6/Atlas of Becoming,10 - The Library at the End of Weather,-17.4,12.1,2.6,1.336601,
gpt5-6/Atlas of Becoming,11 - Clockwork Orchard,-19.5,12.1,-0.2,0.970621,
gpt5-6/Atlas of Becoming,12 - Letters to a Future Ocean,-23.7,24.5,-1.9,0.799834,
gpt5-6/Atlas of Becoming,13 - Night Market in Thirteen,-19.9,11.0,1.1,1.121957,
gpt5-6/Atlas of Becoming,14 - Every Door Opens at Once,-17.5,23.0,1.5,1.192746,
gpt5-6/Bright Matter,01 - Six-Five-Two-One,-14.3,11.9,4.6,1.684397,
gpt5-6/Bright Matter,02 - Runway Aurora,-13.8,12.6,4.8,1.718497,
gpt5-6/Bright Matter,03 - Gravity Has a Chorus,-12.6,7.3,3.9,1.566898,
gpt5-6/Bright Matter,04 - All the Lights Arrive Late,-14.7,13.5,5.0,1.748143,
gpt5-6/Bright Matter,05 - Bright Matter (Everything at Once),-14.1,13.5,5.2,1.798759,
gpt5-6/The Architecture of Air,01 - The Architecture of Air,-17.9,16.7,2.4,1.313377,
opus4-8/amarok,Riverwake,-15.4,14.9,4.9,1.735259,
opus4-8,01 - Of the Light That Stays,-15.2,12.6,-2.6,0.739526,
opus4-8,02 - First Light,-19.8,15.3,-7.0,0.448392,
opus4-8,03 - The Crowded Hour,-17.7,13.4,-3.2,0.690909,
opus4-8,04 - Undertow,-18.1,23.9,-4.4,0.604464,
opus4-8,05 - Letters Unsent,-15.0,12.6,-2.2,0.773115,
opus4-8,06 - Pulse,-17.4,25.1,-1.2,0.856002,
opus4-8,07 - Snow,-32.4,5.2,-15.5,0.167306,
opus4-8,08 - The Weight of Water,-15.5,13.0,-1.9,0.800617,
opus4-8,09 - Bright Ruin,-14.9,19.0,-2.3,0.768449,
opus4-8,10 - Elegy,-17.8,18.8,-3.8,0.64543,
opus4-8,11 - What Remains,-19.4,17.3,-6.6,0.463283,
opus4-8,12 - The Light We Keep,-15.0,12.7,-2.3,0.763037,
synth_feature_showcase,01 - Ignition Court,-13.4,5.7,5.6,1.82994,
synth_feature_showcase,02 - Cathedral Mechanica,-17.1,15.2,0.5,1.055421,
synth_feature_showcase,03 - Skyline Brass Reactor,-17.7,15.4,-2.5,0.744959,
synth_feature_showcase,04 - Choir of Circuitry,-24.1,7.6,0.8,1.091647,
synth_feature_showcase,05 - Atlas of Unbuilt Machines,-20.3,12.9,0.0,1.001512,
